grade,semester,unitTitle,primaryConceptId,type,difficulty,count,evidenceCardIds,examPatternCardIds
P3,lower,位置与方向（一）,position-direction,fill-in,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,位置与方向（一）,position-direction,multiple-choice,Foundation,5,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,位置与方向（一）,position-direction,short-answer,Challenge,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,位置与方向（一）,position-direction,short-answer,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,口算乘法,two-digit-by-two-digit-multiplication,fill-in,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-two-digit-multiplication
P3,lower,口算乘法,two-digit-by-two-digit-multiplication,multiple-choice,Foundation,5,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-two-digit-multiplication
P3,lower,口算乘法,two-digit-by-two-digit-multiplication,multiple-choice,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-two-digit-multiplication
P3,lower,周长与面积辨析,area-measurement,fill-in,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,周长与面积辨析,area-measurement,multiple-choice,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,周长与面积辨析,area-measurement,short-answer,Challenge,3,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,周长与面积辨析,area-measurement,short-answer,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,周长与面积辨析,area-measurement,short-answer,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,复式统计表,decimal-introduction,fill-in,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,复式统计表,decimal-introduction,multiple-choice,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,复式统计表,decimal-introduction,short-answer,Challenge,3,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,复式统计表,decimal-introduction,short-answer,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,复式统计表,decimal-introduction,short-answer,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,小数的初步认识,decimal-introduction,fill-in,Core,5,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,小数的初步认识,decimal-introduction,fill-in,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,小数的初步认识,decimal-introduction,multiple-choice,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,年、月、日,decimal-introduction,multiple-choice,Foundation,4,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,年、月、日,decimal-introduction,multiple-choice,Core,2,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-decimal-date-data
P3,lower,提优拓展,p3-lower-integrated-review,fill-in,Core,3,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,提优拓展,p3-lower-integrated-review,multiple-choice,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,提优拓展,p3-lower-integrated-review,short-answer,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,期中综合,p3-lower-integrated-review,fill-in,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,期中综合,p3-lower-integrated-review,multiple-choice,Foundation,3,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,期中综合,p3-lower-integrated-review,short-answer,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,期末综合,p3-lower-integrated-review,fill-in,Core,3,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,期末综合,p3-lower-integrated-review,multiple-choice,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
