grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds
P1,upper,bnu-primary-p1-upper-clock-introduction,认识钟表,multiple-choice,Foundation,2,bnu-primary-p1-upper-clock-introduction,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,fill-in,Foundation,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,short-answer,Core,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,multiple-choice,Challenge,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,fill-in,Exam,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,short-answer,Foundation,4,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,multiple-choice,Core,4,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,fill-in,Challenge,4,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,multiple-choice,Foundation,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,fill-in,Core,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,short-answer,Challenge,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,multiple-choice,Exam,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,fill-in,Foundation,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,short-answer,Core,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,multiple-choice,Challenge,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,fill-in,Exam,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,short-answer,Foundation,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,multiple-choice,Core,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,fill-in,Challenge,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,short-answer,Exam,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-position-order,位置与顺序,fill-in,Challenge,1,bnu-primary-p1-upper-position-order,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-position-order,位置与顺序,short-answer,Foundation,3,bnu-primary-p1-upper-position-order,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-position-order,位置与顺序,multiple-choice,Core,3,bnu-primary-p1-upper-position-order,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-position-order,位置与顺序,fill-in,Foundation,3,bnu-primary-p1-upper-position-order,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-position-order,位置与顺序,short-answer,Core,2,bnu-primary-p1-upper-position-order,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-position-order,位置与顺序,multiple-choice,Foundation,2,bnu-primary-p1-upper-position-order,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-position-order,位置与顺序,fill-in,Core,2,bnu-primary-p1-upper-position-order,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-review,一年级上册整理与复习,short-answer,Core,3,bnu-primary-p1-upper-review,bnu-primary-p1-upper-assessment-final-integrated|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-review,一年级上册整理与复习,multiple-choice,Foundation,3,bnu-primary-p1-upper-review,bnu-primary-p1-upper-assessment-final-integrated|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-review,一年级上册整理与复习,fill-in,Core,3,bnu-primary-p1-upper-review,bnu-primary-p1-upper-assessment-final-integrated|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-review,一年级上册整理与复习,short-answer,Foundation,3,bnu-primary-p1-upper-review,bnu-primary-p1-upper-assessment-final-integrated|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-review,一年级上册整理与复习,multiple-choice,Core,2,bnu-primary-p1-upper-review,bnu-primary-p1-upper-assessment-final-integrated|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-review,一年级上册整理与复习,fill-in,Foundation,2,bnu-primary-p1-upper-review,bnu-primary-p1-upper-assessment-final-integrated|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-solid-shapes,认识图形,short-answer,Core,3,bnu-primary-p1-upper-solid-shapes,bnu-primary-p1-upper-assessment-solid-shapes|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
